Period End Date,Month,Calendar Year,Fiscal Year,Malt Beverages: # of Barrels,Malt Beverages: Tax on Barrels,Malt Beverages: # of Gallons,Malt Beverages: Tax on Gallons,Malt Beverages: Total Tax,Cider: # of Barrels,Cider: Tax on Barrels,Cider: # of Gallons,Cider: Tax on Gallons,Cider: Total Tax,Wines under 21% Alcohol from Large Wineries: # of Gallons,Wines under 21% Alcohol from Large Wineries: Tax on Gallons,Wines under 21% Alcohol from Small Wineries: # of Gallons,Wines under 21% Alcohol from Small Wineries: Tax on Gallons,Wines over 21% Alcohol & Sparkling Wines: # of Gallons,Wines over 21% Alcohol & Sparkling Wines: Tax on Gallons,Wines:  Total Tax,Distilled Liquor: # of Gallons,Distilled Liquor:  Tax on Gallons,Liquor Cooler: # of Gallons,Liquor Cooler: Tax on Gallons,Alcohol: # of Proof Gallons,Alcohol: Tax on Proof Gallons,Distilled Spirits: Total Tax,Total Alcoholic Beverages Tax
March 2022,March,2022,FY 2022,13164,94781,3366885,808052,902833,384,3041,41520,10795,13836,1028412,812445,17260,3452,49977,98954,914852,668522,3971021,81588,221103,7490,44491,4236615,6068136
February 2022,February,2022,FY 2022,9594,69077,2883864,692127,761204,270,2138,38998,10139,12278,857523,677443,12936,2587,62729,124203,804234,672789,3996367,85863,232689,9041,53704,4282759,5860475
January 2022,January,2022,FY 2022,7646,55051,2714964,651591,706643,305,2416,33075,8600,11015,715154,564972,8867,1773,25849,51181,617926,484181,2876035,43444,117733,5722,33989,3027757,4363341
December 2021,December,2021,FY 2022,11427,82274,3883296,931991,1014265,305,2416,57612,14979,17395,1191478,941268,20295,4059,126499,250468,1195795,705883,4192945,75912,205722,8624,51227,4449893,6677348
November 2021,November,2021,FY 2022,11199,80633,3938872,945329,1025962,358,2835,57417,14928,17764,1192915,942403,27952,5590,110395,218582,1166575,773442,4594245,77446,209879,10613,63041,4867165,7077467
October 2021,October,2021,FY 2022,12111,87199,3637458,872990,960189,411,3255,57266,14889,18144,1075205,849412,36394,7279,85984,170248,1026939,752502,4469862,85475,231637,5824,34595,4736094,6741366
September 2021,September,2021,FY 2022,13496,97171,4069863,976767,1073938,370,2930,63912,16617,19548,947609,748611,29461,5892,57546,113941,868444,783698,4655166,120155,325620,6079,36109,5016895,6978826
August 2021,August,2021,FY 2022,12327,88754,4581287,1099509,1188263,266,2107,41537,10800,12906,915453,723208,23748,4750,61201,121178,849135,730086,4336711,155071,420242,6829,40564,4797518,6847823
July 2021,July,2021,FY 2022,13433,96718,4445967,1067032,1163750,256,2028,43962,11430,13458,963642,761277,28949,5790,61365,121503,888570,772907,4591068,151202,409757,6951,41289,5042114,7107891
June 2021,June,2021,FY 2021,13221,95191,5127516,1230604,1325795,271,2146,45963,11950,14097,1162149,918098,29513,5903,86574,171417,1095417,779896,4632582,176546,478440,5876,34903,5145925,7581234
